district,province,fy_2019_20_fatality_rate,fy_2020_21_fatality_rate,fy_2021_22_fatality_rate,cluster_type,road_type_dominant,notes
Kathmandu,Bagmati,high,high,high,HH,Bitumen,"High-High cluster — urban core, highest accident density"
Lalitpur,Bagmati,high,high,high,HH,Bitumen,"High-High cluster — urban"
Bhaktapur,Bagmati,high,high,high,HH,Bitumen,"High-High cluster — urban"
Makwanpur,Bagmati,high,high,high,HH,Mixed,"High-High cluster — Kathmandu-Birgunj corridor"
Nuwakot,Bagmati,high,high,high,HH,Mixed,"High-High cluster"
Kabhrepalanchok,Bagmati,high,high,high,HH,Mixed,"High-High cluster"
Sarlahi,Madhesh,high,high,high,HH,Bitumen,"High-High cluster — Terai highway"
Dhanusha,Madhesh,high,high,high,HH,Bitumen,"High-High cluster — Terai highway"
Saptari,Madhesh,high,high,high,HH,Bitumen,"High-High cluster"
Rautahat,Madhesh,high,high,high,HH,Bitumen,"High-High cluster"
Mahottari,Madhesh,high,high,high,HH,Bitumen,"High-High cluster"
Siraha,Madhesh,high,high,high,HH,Bitumen,"High-High cluster"
Sindhupalchok,Bagmati,low,low,medium,LL,Mixed,"Low-Low — had lowest 2020-21 rate at 1.14 per 100k"
Bajhang,Sudurpaschim,low,low,low,LL,Earthen,"Low-Low cluster — remote"
Bajura,Sudurpaschim,low,low,low,LL,Earthen,"Low-Low cluster — remote"
Pyuthan,Lumbini,low,low,low,LL,Earthen,"Low-Low cluster"
Baglung,Gandaki,low,low,low,LL,Mixed,"Low-Low cluster"
Parbat,Gandaki,low,low,low,LL,Mixed,"Low-Low cluster"
Myagdi,Gandaki,low,low,low,LL,Earthen,"Low-Low cluster"
Kaski,Gandaki,low,low,low,LL,Bitumen,"Low-Low — Pokhara area"
Lamjung,Gandaki,low,low,low,LL,Mixed,"Low-Low cluster"
Manang,Gandaki,medium,high,zero,outlier,Earthen,"Extreme outlier — 106.04 per 100k in 2020-21 (highest), zero fatalities 2021-22"
Mugu,Karnali,medium,medium,very_high,outlier,Earthen,"52.67 per 100k in 2021-22 — highest that year"
